search URL:,https://patents.google.com/?q=%22digital+identity%22&before=priority:20191231&after=priority:20150101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11652628-B2,Deterministic verification of digital identity documents ,Green Market Square Limited,"William F. Abt, JR., Robert W. HARRIS, JR., Asher C. Johnson",2016-07-25,2021-02-25,2023-05-16,2023-05-16,https://patents.google.com/patent/US11652628B2/en,https://patentimages.storage.googleapis.com/79/b0/9b/781ba79abbf6b9/US11652628-20230516-D00000.png
US-11574037-B1,Creating a secure digital identity ,Bullish Global,"Daniel J. Larimer, Richard B. Whitner, Thomas C. Hallgren, Todd B. Fleming",2018-12-11,2020-09-28,2023-02-07,2023-02-07,https://patents.google.com/patent/US11574037B1/en,https://patentimages.storage.googleapis.com/e7/3b/4e/90bf8712e07832/US11574037-20230207-D00000.png
CN-107181765-A,Network digital identity identifying method based on block chain technology ,光载无限（北京）科技有限公司,焦继佩,2017-07-25,2017-07-25,2017-09-19,,https://patents.google.com/patent/CN107181765A/en,
EP-3701668-B1,Methods for recording and sharing a digital identity of a user using distributed ledgers ,Thales Dis France SAS,"Laurent Castillo, Yesong WANG, Khaing Phyo AUNG, Vincent LAO",2017-10-26,2018-10-23,2022-09-21,2022-09-21,https://patents.google.com/patent/EP3701668B1/en,https://patentimages.storage.googleapis.com/b1/9b/be/85585f0e90393b/imgf0001.png
EP-3065435-A1,"Method for generating a digital identity for a user of a mobile device, digital user identity, and authentication method using said digital user identity ","EBIID, Products & Solutions, S.L.","Jordi MASÍAS, Xavier TARRÉS, Roger OLIVET",2015-01-05,2015-01-05,2016-09-07,,https://patents.google.com/patent/EP3065435A1/en,https://patentimages.storage.googleapis.com/13/95/2c/7b4ac9b3c131aa/imgf0001.png
TW-I651656-B,"Multidimensional barcode action identity authentication method, digital certificate device ",楊建綱,楊建綱,2017-03-29,2017-03-29,2019-02-21,2019-02-21,https://patents.google.com/patent/TWI651656B/en,
KR-20180108566-A,SYSTEM AND METHOD FOR MANAGING DIGITAL IDENTITY ,캠브리지 블록체인 엘엘씨,"알렉스 오버하우저, 매튜 커먼즈, 알록 바르가바",2015-10-14,2016-10-14,2018-10-04,,https://patents.google.com/patent/KR20180108566A/en,https://patentimages.storage.googleapis.com/41/23/08/fa54119644b360/pct00007.png
CN-108280878-B,Material culture heritage block chain multi-mode digital identity construction device and method ,"谭佳佳, 高博扬, 鲁晓波","谭佳佳, 高博扬, 鲁晓波",2018-04-12,2018-04-12,2020-05-19,2020-05-19,https://patents.google.com/patent/CN108280878B/en,https://patentimages.storage.googleapis.com/0b/24/b2/744c3dd5e752cb/HDA0001626814320000011.png
CN-108111543-B,Digital identity recognition system on block chain ,上海冲量网络科技有限公司,邓海南,2018-02-06,2018-02-06,2020-08-04,2020-08-04,https://patents.google.com/patent/CN108111543B/en,
US-11069016-B2,National digital identity ,Mastercard International Incorporated,"Stephen Elder, Joseph Mitchell, John Sheldon, Ken Moore, Gregory O'Brien, Sinead FITZGERALD, Derek Humphreys",2017-05-10,2017-11-29,2021-07-20,2021-07-20,https://patents.google.com/patent/US11069016B2/en,https://patentimages.storage.googleapis.com/8d/1d/db/c9aabff11aad6d/US11069016-20210720-D00000.png
US-11558201-B2,Self-authenticating digital identity ,"Banco Bilbao Vizcaya Argentaria, S.A.",Louis Gasparini,2017-03-01,2021-05-06,2023-01-17,2023-01-17,https://patents.google.com/patent/US11558201B2/en,https://patentimages.storage.googleapis.com/0c/7d/3c/1165c16d44c42b/US11558201-20230117-D00000.png
US-9852285-B2,Digital identity ,Yoti Holding Limited,"Eleanor Simone Frederika LOUGHLIN-MCHUGH, Roman Edward SZCZESNIAK",2015-02-13,2015-02-13,2017-12-26,2017-12-26,https://patents.google.com/patent/US9852285B2/en,https://patentimages.storage.googleapis.com/b9/78/d1/d67d296e6ff6da/US09852285-20171226-D00000.png
US-10469454-B2,Digital identity ,Deutsche Telekom Ag,"Mohamad Sbeiti, Tobias Wernado",2016-09-20,2017-09-19,2019-11-05,2019-11-05,https://patents.google.com/patent/US10469454B2/en,https://patentimages.storage.googleapis.com/3c/a1/eb/de6e13ed734214/US10469454-20191105-D00000.png
US-2019268159-A1,System and method for a digital identity system ,"Walmart Apollo, Llc","Donald R. High, Bruce Wilkinson, John J. O'Brien, Robert Cantrell, Brian McHale, Joseph JURICH, Jennifer Hedges",2018-02-28,2019-02-28,2019-08-29,,https://patents.google.com/patent/US20190268159A1/en,https://patentimages.storage.googleapis.com/0c/0f/b5/435fd5bc53f3d3/US20190268159A1-20190829-D00000.png
US-11238141-B2,"Digital identity authentication and verification system, method, and device ","The Boogie Badge, Inc.",Robert Andersen,2018-03-05,2019-03-05,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238141B2/en,https://patentimages.storage.googleapis.com/bf/cc/63/848817fce20705/US11238141-20220201-D00000.png
CN-107579998-A,"Personal data center and digital identification authentication method based on block chain, digital identity and intelligent contract ",光载无限（北京）科技有限公司,朱佩江,2017-10-17,2017-10-17,2018-01-12,,https://patents.google.com/patent/CN107579998A/en,
CN-108768933-B,Autonomous supervision digital identity authentication system on block chain platform ,深圳技术大学,"赵建, 张翌维, 相韶华",2018-04-11,2018-04-11,2020-11-03,2020-11-03,https://patents.google.com/patent/CN108768933B/en,https://patentimages.storage.googleapis.com/8c/1f/6f/75282bb43deb73/HDA0001624669240000011.png
CN-108712382-B,Digital identity authentication method and system based on secure two-dimensional code ,新大陆（福建）公共服务有限公司,"曾伟东, 林龙, 叶明�, 李钻达, 李霖",2018-04-17,2018-04-17,2021-07-06,2021-07-06,https://patents.google.com/patent/CN108712382B/en,https://patentimages.storage.googleapis.com/20/69/10/384c74ac9d1768/HDA0003068843160000011.png
US-10084606-B2,Construction of digital identity documents in a manner that allows the user to select which attributes are to be revealed ,International Business Machines Corporation,"William F. Abt, JR., Daniel A. Gisolfi, Asher C. Johnson, Aaron K. Reed",2016-04-15,2016-04-15,2018-09-25,2018-09-25,https://patents.google.com/patent/US10084606B2/en,https://patentimages.storage.googleapis.com/ad/ea/79/5ea362abc16d7a/US10084606-20180925-D00000.png
CN-105184083-A,Digital identity code used for medical instrument whole-process quality tracing and coding method thereof ,南京延长科技有限公司,"潘秀兵, 陈碧义",2015-09-14,2015-09-14,2015-12-23,,https://patents.google.com/patent/CN105184083A/en,
CN-108282339-A,A kind of digital identity method for retrieving based on intelligent contract and from social media ,中国科学院合肥物质科学研究院,"赵赫, 周桐, 李芳�, 李晓风, 谭海波, 张中贤, 王卫东, 吕波",2018-01-25,2018-01-25,2018-07-13,,https://patents.google.com/patent/CN108282339A/en,
CN-106709734-A,Multiple-two-dimensional code tracing method based on digital identity and system thereof ,毛巨林,毛巨林,2016-12-21,2016-12-21,2017-05-24,,https://patents.google.com/patent/CN106709734A/en,
US-2021365544-A1,Systems and methods for leveraging internet identity for digital credentialing ,BadgeCert Inc.,"Jay Malin, Ginger Malin, Raed Adhami",2019-03-21,2020-05-21,2021-11-25,,https://patents.google.com/patent/US20210365544A1/en,https://patentimages.storage.googleapis.com/ac/71/7b/dd2ec1d791382d/US20210365544A1-20211125-D00000.png
CN-109858270-A,A kind of construction method and system of decentralization digital identity ,江苏金智教育信息股份有限公司,"王喆, 李秀秀, 徐丽, 马璇, 刘国锋",2019-02-22,2019-02-22,2019-06-07,,https://patents.google.com/patent/CN109858270A/en,
US-2020344230-A1,Digital identity network interface system ,The Toronto-Dominion Bank,"Malcolm Clarke, Brian Andrew LAM",2017-09-07,2020-07-02,2020-10-29,,https://patents.google.com/patent/US20200344230A1/en,https://patentimages.storage.googleapis.com/35/53/a8/715413fe70a927/US20200344230A1-20201029-D00000.png
WO-2019129582-A1,A method for managing a verified digital identity ,Newbanking Aps,"Morten Helles, Christian Visti LARSEN",2017-12-27,2018-12-19,2019-07-04,,https://patents.google.com/patent/WO2019129582A1/en,
CN-109587154-B,"Digital identity verification method, device, computer equipment and storage medium ",金蝶软件（中国）有限公司,"何晟, 梁勇, 曾凯柔, 曾晶, 邓理平, 陈桓, 张良杰",2018-12-14,2018-12-14,2021-10-15,2021-10-15,https://patents.google.com/patent/CN109587154B/en,https://patentimages.storage.googleapis.com/5a/90/37/2fbccead44b942/HDA0001906702040000011.png
US-11431509-B2,Bridging digital identity validation and verification with the FIDO authentication framework ,"Queralt, Inc.","Michael Queralt, Daniel R. Sabia",2016-09-13,2020-12-15,2022-08-30,2022-08-30,https://patents.google.com/patent/US11431509B2/en,https://patentimages.storage.googleapis.com/c4/fe/b3/f6eb8f183db123/US11431509-20220830-D00000.png
CN-110071808-A,A kind of the secure digital identity verification method and device of block chain user ,郭浩,郭浩,2019-04-09,2019-04-09,2019-07-30,,https://patents.google.com/patent/CN110071808A/en,
CN-110400145-A,"A kind of digital identity application system and method, identity authorization system and method ",腾讯科技（深圳）有限公司,"郑浩剑, 江盈义, 孟凡旭, 王博",2018-07-13,2018-07-13,2019-11-01,,https://patents.google.com/patent/CN110400145A/en,
US-11544779-B2,Systems and methods for digital identity verification ,"Jpmorgan Chase Bank, N.A.","Howard Spector, Jasbir BANGA, Allison Beer, Meena PINTO, Michael S. Hartman, Dennis BOWERS, Pio Abate",2019-05-30,2020-05-29,2023-01-03,2023-01-03,https://patents.google.com/patent/US11544779B2/en,https://patentimages.storage.googleapis.com/51/f4/28/f4e7bdae6b87d4/US11544779-20230103-D00000.png
ES-2857250-T3,Digital identity generation and authentication method ,Aliasnet S R L,Castro Aldo Peter Lo,2016-10-24,2017-10-24,2021-09-28,2021-09-28,https://patents.google.com/patent/ES2857250T3/en,
EP-3455765-A1,"Method of remotely identifying a physical person in asynchronous mode, aimed at the release of an advanced electronic signature, qualified electronic signature or digital identity ",INFOCERT S.p.A.,"Marco DI LUZIO, Alfredo ESPOSITO, Nicole MAZZONI, Igor MARCOLONGO",2016-05-13,2017-04-11,2019-03-20,,https://patents.google.com/patent/EP3455765A1/en,
EP-3646256-A1,Dynamic reputation score for a digital identity ,Intuit Inc.,Rekha Joshi,2017-06-27,2017-06-30,2020-05-06,,https://patents.google.com/patent/EP3646256A1/en,
US-10158631-B2,Digital identity card management ,International Business Machines Corporation,Richard Redpath,2016-10-20,2017-04-04,2018-12-18,2018-12-18,https://patents.google.com/patent/US10158631B2/en,https://patentimages.storage.googleapis.com/e0/d0/f6/4a16aea3c1a3bb/US10158631-20181218-D00000.png
CN-110060037-B,Distributed digital identity system based on block chain ,上海能链众合科技有限公司,林乐,2019-04-24,2019-04-24,2020-12-08,2020-12-08,https://patents.google.com/patent/CN110060037B/en,https://patentimages.storage.googleapis.com/b9/9a/89/38073dcc9e177f/HDA0002696750000000011.png
CN-109949120-A,It is related to the system and method for digital identity ,万事达卡国际股份有限公司,B·C·布莱森,2017-12-21,2018-12-19,2019-06-28,,https://patents.google.com/patent/CN109949120A/en,
US-2022014371-A1,Digital Identity Escrow Methods and Systems ,"Banco Bilbao Vizcaya Argentaria, S.A",Louis Gasparini,2018-07-11,2021-09-28,2022-01-13,,https://patents.google.com/patent/US20220014371A1/en,https://patentimages.storage.googleapis.com/59/c4/50/485bbf24ce21ac/US20220014371A1-20220113-D00000.png
CN-107370600-A,A kind of method for generating core identity digital certificate and identity side digital certificate ,华南理工大学,"贺小箭, 寇池滨",2017-08-14,2017-08-14,2017-11-21,,https://patents.google.com/patent/CN107370600A/en,
CN-111159681-A,Block chain-based digital identity implementation method and system ,马上游科技股份有限公司,"任贺朋, 陈勇良, 刘迎宾",2019-12-31,2019-12-31,2020-05-15,,https://patents.google.com/patent/CN111159681A/en,https://patentimages.storage.googleapis.com/88/6e/25/865634e2992366/HDA0002350050660000011.png
CN-110826043-A,"Digital identity application system and method, identity authentication system and method ",腾讯科技（深圳）有限公司,"郑浩剑, 江盈义, 孟凡旭",2018-08-08,2018-08-08,2020-02-21,,https://patents.google.com/patent/CN110826043A/en,https://patentimages.storage.googleapis.com/e2/35/10/44a6b980acd49d/HDA0001758921420000011.png
CN-111444492-A,Digital identity verification method based on medical block chain ,延安医链区块链科技有限公司,"陈威桦, 苗政委",2019-01-16,2019-01-16,2020-07-24,,https://patents.google.com/patent/CN111444492A/en,https://patentimages.storage.googleapis.com/db/4c/ef/f09e20a1944266/1901151711441.png
WO-2019048574-A1,Digital identity system ,Yoti Holding Limited,"Robin TOMBS, Julie DAWSON",2017-09-07,2018-09-06,2019-03-14,,https://patents.google.com/patent/WO2019048574A1/en,
CN-111181945-B,"Digital identity management method and device, storage medium and electronic equipment ",达闼机器人有限公司,谢辉,2019-12-24,2019-12-24,2022-03-04,2022-03-04,https://patents.google.com/patent/CN111181945B/en,https://patentimages.storage.googleapis.com/8b/89/bd/f0249341deaf01/HDA0002334084580000011.png
CN-110929244-A,"Digital identity identification method, device, equipment and storage medium ","中国建设银行股份有限公司, 建信金融科技有限责任公司","李兵, 郑邦东",2019-12-06,2019-12-06,2020-03-27,,https://patents.google.com/patent/CN110929244A/en,https://patentimages.storage.googleapis.com/b3/75/2c/78c7e01a701ddb/HDA0002307111630000011.png
EP-3888039-A4,Digital identity management device ,"RB Global Mobile Solutions, LLC",Roberta Ann BIENFAIT,2018-11-30,2019-12-02,2022-08-24,,https://patents.google.com/patent/EP3888039A4/en,
CN-110602083-B,Secure transmission and storage method of digital identity authentication data ,上海黔易数据科技有限公司,"陶卓延, 赵琪",2019-09-10,2019-09-10,2022-04-29,2022-04-29,https://patents.google.com/patent/CN110602083B/en,
US-10931650-B1,"Apparatus and method for building, extending and managing interactions between digital identities and digital identity applications ","Anonyome Labs, Inc.","Steven Harvey McCown, Paul Ashley, Steve Shillingford, Greg Clark",2017-08-31,2017-09-25,2021-02-23,2021-02-23,https://patents.google.com/patent/US10931650B1/en,https://patentimages.storage.googleapis.com/af/b4/28/17b9811545b71d/US10931650-20210223-D00000.png
US-2019394043-A1,Residence-Based Digital Identity and Strong Authentication System ,Hushmesh Inc.,Jean-Emmanuel Fontaine,2017-04-07,2019-06-28,2019-12-26,,https://patents.google.com/patent/US20190394043A1/en,https://patentimages.storage.googleapis.com/79/e2/82/102768cd5fd339/US20190394043A1-20191226-D00000.png
US-11044096-B2,Blockchain based digital identity generation and verification ,Accenture Global Solutions Limited,"Kapil Singi, Swapnajeet GON CHOUDHURY, Vikrant S. KAULGUD, Jagadeesh Chandra Bose Rantham Prabhakara, Sanjay Podder, Adam Patten BURDEN",2019-02-04,2019-04-16,2021-06-22,2021-06-22,https://patents.google.com/patent/US11044096B2/en,https://patentimages.storage.googleapis.com/45/45/aa/e118ca4f12ad5d/US11044096-20210622-D00000.png
WO-2020183035-A1,Unclonable authentication method for device-based digital identity verification with physically unclonable function chips ,"Signe,S.A., Pad Blockchain Strategic Investments,S.L.","Alberto CHILLON NAVARRETE, Antonio Sigwaldo PINEDO HOYVIK",2019-03-11,2019-03-11,2020-09-17,,https://patents.google.com/patent/WO2020183035A1/en,
US-2021160050-A1,Method for establishing anonymous digital identity ,Korea Smart Authentication Corp.,"Kibong MOON, Joonkoo KANG, Hawon HAN",2018-08-07,2021-02-04,2021-05-27,,https://patents.google.com/patent/US20210160050A1/en,https://patentimages.storage.googleapis.com/5c/f4/4f/703fa3353c182f/US20210160050A1-20210527-D00000.png
CN-109740319-A,Digital identity verification method and server ,中国联合网络通信集团有限公司,"刘千仞, 文湘江, 王光全, 廖军, 任梦璇, 马少武",2018-12-06,2018-12-06,2019-05-10,,https://patents.google.com/patent/CN109740319A/en,
US-2019075018-A1,Managing a generation and delivery of digital identity documents ,International Business Machines Corporation,Asher C. Johnson,2016-11-29,2018-10-29,2019-03-07,,https://patents.google.com/patent/US20190075018A1/en,https://patentimages.storage.googleapis.com/91/05/21/24588276fbd80e/US20190075018A1-20190307-D00000.png
WO-2019063512-A1,"A method for generating a digital identity, a digital identity, a method for creating an electronic transaction document and an electronic transaction document ",Rudolf Bayer,Rudolf Bayer,2017-09-28,2018-09-25,2019-04-04,,https://patents.google.com/patent/WO2019063512A1/en,
CN-109191149-B,Commodity digital identity generation method based on block chain ,合肥高科创新科技有限公司,"赵亮, 邹菁琳, 贾娟, 商飞, 古春生, 古继宝",2018-08-22,2018-08-22,2022-02-22,2022-02-22,https://patents.google.com/patent/CN109191149B/en,https://patentimages.storage.googleapis.com/8f/3c/68/0dbf81c32f85bc/HDA0001773531270000011.png
WO-2021137684-A1,System and method for integrating digital identity verification to authentication platform ,Mimos Berhad,"Galoh Rashidah BINTI HARON, Dahlia BINTI DIN, Nor Izyani BINTI DAUD",2019-12-31,2020-08-24,2021-07-08,,https://patents.google.com/patent/WO2021137684A1/en,
CN-104862387-A,Method for establishing cotton variety fingerprint and digital identity card ,新疆农垦科学院,"叶春秀, 李有忠, 庄振刚, 王志军, 董永梅",2015-04-14,2015-04-14,2015-08-26,,https://patents.google.com/patent/CN104862387A/en,
GB-2563742-A,Systems and methods for digital identity management and permission controls within distributed network nodes ,Northern Trust Corp,"Czupek Andrew, Monks Andrew, Stevens Anthony, Das Arijit, Price Christopher, Chapman Justin, Hannaway Wayne, Smith Zabrina",2017-02-06,2017-12-19,2018-12-26,,https://patents.google.com/patent/GB2563742A/en,
US-2021103676-A1,Privacy-secure edge-zone digital identity computing for open-loop pixel-state control ,Accenture Global Solutions Limited,"David B. Treat, Tracy Ann Kuhrt, Giuseppe Giordano, Luca SCHIATTI, Andrea Maria Milazzo, Dominic Paolino",2019-10-03,2020-05-22,2021-04-08,,https://patents.google.com/patent/US20210103676A1/en,https://patentimages.storage.googleapis.com/7e/26/5c/6d04edc168cb52/US20210103676A1-20210408-D00000.png
US-2016275525-A1,Digital Identity and Authorization for Machines with Replaceable Parts ,"Microsoft Technology Licensing, Llc",Clemens Friedrich Vasters,2015-03-20,2015-03-20,2016-09-22,,https://patents.google.com/patent/US20160275525A1/en,https://patentimages.storage.googleapis.com/ab/15/5f/0fbaf0e9ccde75/US20160275525A1-20160922-D00000.png
WO-2019158991-A1,Method and architecture for creating a trusted digital identity which is self-adaptive over time by using blockchain architectures and is used for carrying out digital transactions ,Euronovate S.A.,"Alberto Guidotti, Luigi MERONI, Alex BADAN, Francesco MARAGNO",2018-02-19,2019-02-14,2019-08-22,,https://patents.google.com/patent/WO2019158991A1/en,
US-2016301689-A1,Digital identity enrollment system ,Honeywell International Inc.,"Sanjay Roy, Bryan Jones, Frank Lin, Datta Godbole, Himanshu Khurana",2015-04-10,2015-04-10,2016-10-13,,https://patents.google.com/patent/US20160301689A1/en,https://patentimages.storage.googleapis.com/3b/e3/d2/02d974fd81471d/US20160301689A1-20161013-D00000.png
CN-109309917-B,eID digital identity authentication method and system based on mobile terminal software cryptographic module ,上海收付宝科技有限公司,陈彪,2018-10-24,2018-10-24,2021-11-02,2021-11-02,https://patents.google.com/patent/CN109309917B/en,https://patentimages.storage.googleapis.com/20/a6/e4/c7023a8173a4fc/HDA0003239063410000011.png
